source_index,feature_id,height_m,center_x_m,center_y_m,min_x_m,min_y_m,max_x_m,max_y_m,highlighted
189,307621,12.5,1018.32137346,-8576.93697117,1012.11702074,-8583.86055575,1024.52572618,-8570.0133866,false
190,307621,12.5,1018.32137346,-8576.93697117,1012.11702074,-8583.86055575,1024.52572618,-8570.0133866,false
191,307617,13.3,870.30131271,-8577.64564828,864.72848487,-8584.05334744,875.87414055,-8571.23794912,false
192,307581,12.68,1246.94421967,-8519.86715596,1242.58473448,-8525.84264034,1251.30370486,-8513.89167159,false
193,307554,11.13,1304.58929555,-8492.41227986,1299.28244644,-8498.66788038,1309.89614466,-8486.15667933,false
194,307439,11.49,888.89934626,-8369.43501647,884.10741726,-8376.36991522,893.69127525,-8362.50011772,false
195,307374,12.34,977.42147559,-8285.24689414,970.6226517,-8289.38007517,984.22029949,-8281.11371312,false
196,307363,13.3,936.5898538,-8283.1618271,929.92357469,-8295.37817555,943.25613291,-8270.94547864,false
197,307323,11.88,859.69804545,-8248.52934121,854.71522617,-8255.05454046,864.68086472,-8242.00414196,false
198,281866,12.67,1351.19546289,-8954.34455155,1346.2557291,-8961.67424524,1356.13519668,-8947.01485786,false
199,281796,18.21,1582.39413963,-8863.70286934,1574.18073883,-8866.68270191,1590.60754043,-8860.72303676,false
200,203414,17.16,1583.899859,-8854.9184953,1576.28192377,-8862.08740774,1591.51779422,-8847.74958287,false
201,103121,18.77,1580.70855618,-8875.55956205,1570.67510517,-8884.60990245,1590.74200719,-8866.50922166,false
202,281792,10.83,1502.29878578,-8861.34264985,1498.56233742,-8867.17113339,1506.03523415,-8855.51416632,false
203,281787,11.56,1305.89284553,-8860.58828423,1301.60296656,-8866.98842464,1310.1827245,-8854.18814382,false
204,281786,10.93,1123.81582772,-8869.0898241,1120.98164689,-8879.6699397,1126.65000855,-8858.50970851,false
205,281673,10.81,1154.55252969,-8725.49278868,1150.49922557,-8732.6949015,1158.60583382,-8718.29067586,false
206,281666,11.93,1030.5887135,-8723.17976061,1025.61488567,-8731.7558407,1035.56254134,-8714.60368052,false
207,281600,11.83,1113.68136465,-8633.33443578,1108.39018558,-8637.24262733,1118.97254371,-8629.42624423,false
208,281559,10.63,975.48179188,-8592.32229451,968.79038319,-8596.07034652,982.17320057,-8588.57424251,false
209,281549,10.92,1177.00671406,-8574.32021715,1165.31894744,-8580.36253311,1188.69448069,-8568.27790119,false
210,281494,10.01,975.88345264,-8500.07187078,970.97942298,-8504.94720899,980.7874823,-8495.19653257,false
211,281486,10.11,1070.18601696,-8496.00035275,1065.90018981,-8505.71686126,1074.47184411,-8486.28384424,false
212,281451,8.94,874.2012691,-8448.37690568,870.92426005,-8456.48114391,877.47827814,-8440.27266744,false
213,281386,11.52,1149.14431258,-8344.73151655,1131.13390871,-8349.50274032,1167.15471646,-8339.96029278,false
214,281378,11.53,1276.92802647,-8325.36230509,1272.15632505,-8329.07995718,1281.69972789,-8321.644653,false
215,281374,11.55,981.70890162,-8323.68792163,975.05900787,-8327.20172246,988.35879536,-8320.17412081,false
216,281266,11.61,946.65755416,-8213.66504611,942.0948239,-8218.59983152,951.22028442,-8208.73026069,false
217,255755,13.23,1414.64676668,-8914.31736727,1409.68857679,-8921.65131329,1419.60495656,-8906.98342125,false
218,255748,11.18,1232.91571853,-8914.39985632,1228.71343932,-8922.40859069,1237.11799775,-8906.39112195,false
219,255738,12.27,1215.21467194,-8908.68925523,1209.80912963,-8922.185024,1220.62021425,-8895.19348645,false
220,255737,10.51,1181.95354475,-8907.29850944,1177.04560968,-8920.84750575,1186.86147981,-8893.74951314,false
221,255690,13.73,1166.25272532,-8866.03894302,1161.22297982,-8876.58128902,1171.28247083,-8855.49659702,false
222,255669,14.68,1584.41903715,-8823.20835523,1578.40294725,-8830.14361985,1590.43512705,-8816.27309061,false
223,255665,11.52,1430.68065761,-8818.82494598,1425.0838735,-8824.8081076,1436.27744173,-8812.84178435,false
224,255663,12.68,1416.26448634,-8818.22514842,1410.67710515,-8824.88781472,1421.85186752,-8811.56248212,false
225,255655,10.27,1281.79970923,-8815.14039569,1274.42612613,-8826.9131929,1289.17329234,-8803.36759848,false
